"","mtry","splitrule","min.node.size","Accuracy","Kappa","AccuracySD","KappaSD"
"21",5,"gini",10,0.823096457996458,0.143086855460731,0.00595707946512181,0.034317572050072
"22",5,"hellinger",1,0.819796155696156,0.13185285380559,0.0069227238300291,0.0322386652363105
"23",5,"hellinger",5,0.821995957495957,0.137189021741015,0.00670238025972256,0.0326804478619945
"24",5,"hellinger",10,0.821895357495357,0.129830863116806,0.00712847211014712,0.039353565819866
"25",6,"gini",1,0.820796356296356,0.146473967196678,0.0076938232407818,0.0381636650343279
"26",6,"gini",5,0.823196858796859,0.150742336423334,0.0055040290806371,0.0286422728847453
"27",6,"gini",10,0.822197057597058,0.141855488147178,0.00590858169140736,0.0284771955424076
"28",6,"hellinger",1,0.821295356495356,0.142871113994477,0.00651997970088536,0.034812106638726
"29",6,"hellinger",5,0.822395258195258,0.144601906205964,0.00740147310725595,0.042223300101254
"30",6,"hellinger",10,0.820396256596257,0.127110582860852,0.00787055034415203,0.0421558949174433
"31",7,"gini",1,0.820296455796456,0.141740461378455,0.00720286060245567,0.0364235713242969
"32",7,"gini",5,0.822295957895958,0.147249367681326,0.00696316054411472,0.0338660071572141
"33",7,"gini",10,0.821196156896157,0.136341318434185,0.00659464406250629,0.0353609958380608
"34",7,"hellinger",1,0.820695456995457,0.143128324365321,0.0071514782002059,0.0376213149579869
"35",7,"hellinger",5,0.820696056796057,0.137956175227235,0.00744095136998938,0.0371641387898234
"36",7,"hellinger",10,0.820296156496157,0.132324800571494,0.00668049973974174,0.034024339345814
"37",8,"gini",1,0.821896557496558,0.157094748702174,0.00659287666170728,0.0314660641556455
"38",8,"gini",5,0.821697456797457,0.149329161733149,0.00595535718797111,0.0340657446410233
"39",8,"gini",10,0.821596357296357,0.144545728328774,0.00679415868015644,0.035242041277093
"40",8,"hellinger",1,0.819494555294555,0.143211672345229,0.00804156466220163,0.0382317674584844
"41",8,"hellinger",5,0.820896256796257,0.137341559975395,0.00750008863177158,0.0381416129105777
"42",8,"hellinger",10,0.821295857195857,0.138623956178194,0.00662301721340579,0.0371060167576
"43",9,"gini",1,0.821295556895557,0.154121708775133,0.00758647429160413,0.0399516893673187
"44",9,"gini",5,0.821496357696358,0.150246312774288,0.00698814410349447,0.0290182644341526
"45",9,"gini",10,0.823296458196458,0.149969476386429,0.00657099659806111,0.0321701891401334
"46",9,"hellinger",1,0.820996356896357,0.145403175620707,0.00696671734189678,0.0340078499940425
"47",9,"hellinger",5,0.820695756095756,0.143206279079612,0.00775655385397645,0.037785484190451
"48",9,"hellinger",10,0.820995957095957,0.139213678139626,0.00783308670674147,0.0387328019802185
"49",10,"gini",1,0.820095055595056,0.151860274603194,0.00819827385536726,0.0444361621751836
"50",10,"gini",5,0.821397656397656,0.154041999737936,0.00685603422202613,0.0305024184555942
